Date,MXCO phi potential
1996.498,604.22904943614
1996.583,606.80973410397
1996.668,613.631123099245
1996.750,604.271242526851
1996.834,593.510539373803
1996.916,584.156355661675
1997.001,587.952909134126
1997.086,577.77422584029
1997.163,558.368677084291
1997.248,566.159322121452
1997.330,565.258837115052
1997.415,563.208301086253
1997.497,683.549650034605
1997.582,628.462630691754
1997.667,582.531739005661
1997.749,584.183260405411
1997.834,599.081987829803
1997.916,572.703467388299
1998.001,563.822334773486
1998.086,555.25118060493
1998.163,550.759305041052
1998.248,589.393661568301
1998.330,603.498302152379
1998.415,608.296794872942
1998.497,593.263279347715
1998.582,627.724724597152
1998.667,688.609652899884
1998.749,842.353851163554
1998.834,610.058896277244
1998.916,615.772634662913
1999.001,688.527720221993
1999.086,642.575863177453
1999.163,704.283149490597
1999.248,621.101625740801
1999.330,617.34513979566
1999.415,594.845334916046
1999.497,618.415551276254
1999.582,708.644227468285
1999.667,685.69930577545
1999.749,871.765080323101
1999.834,692.950587365003
1999.916,679.724534512286
2000.001,654.872259905245
2000.086,663.397932231324
2000.165,690.809353757242
2000.250,680.290343649953
2000.332,751.217502723082
2000.416,852.93908599005
2000.498,853.927355519052
2000.583,790.616441612394
2000.668,750.10738723782
2000.750,691.714395444355
2000.834,757.659048572941
2000.916,716.185802115182
2001.001,680.128631481832
2001.086,627.990250028204
2001.163,615.11050350513
2001.248,755.601998215163
2001.330,712.285793580715
2001.415,714.343756969405
2001.497,718.495236378089
2001.582,746.216875475244
2001.667,952.425998323981
2001.749,734.489662133579
2001.834,680.322691115371
2001.916,682.169269161473
2002.001,739.871103077052
2002.086,667.359184589728
2002.163,694.453667322472
2002.248,697.104865134954
2002.330,701.636537069804
2002.415,686.678837281454
2002.497,730.923847656253
2002.582,786.580366234526
2002.667,753.06528997341
2002.749,743.569228953089
2002.834,776.63973741414
2002.916,744.776396059553
2003.001,708.982160138126
2003.086,726.491118980202
2003.163,714.871991696493
2003.248,733.946673773034
2003.330,733.999203422458
2003.415,893.360060770141
2003.497,776.121805118701
2003.582,742.9486487595
2003.667,743.87083895622
2003.749,768.886943945636
2003.834,895.2291593962
2003.916,721.035841922732
2004.001,775.400947257835
2004.086,659.1194704672
2004.165,625.326429844859
2004.250,616.349122110596
2004.332,605.04545133222
2004.416,609.532433065891
2004.498,637.038906544554
2004.583,617.952388855643
2004.668,612.184788319915
2004.750,576.860869176253
2004.834,614.291267537819
2004.916,603.035146774529
2005.001,683.354589074459
2005.086,614.5785636075
2005.163,603.582561281053
2005.248,596.087333550926
2005.330,620.446935431053
2005.415,586.719795300354
2005.497,611.170618273982
2005.582,630.51951756006
2005.667,677.869063946155
2005.749,599.429854523754
2005.834,571.527058162141
2005.916,568.795311755102
2006.001,552.159473736832
2006.086,525.402828637314
2006.163,516.122927947405
2006.248,516.523917049883
2006.330,518.312665713564
2006.415,519.1660817547
2006.497,541.156188425637
2006.582,545.797183028941
2006.667,570.0938371395
2006.749,533.714848351885
2006.834,535.758216867331
2006.916,556.442335506301
2007.001,517.730144958539
2007.086,518.301452698794
2007.163,507.37387028382
2007.248,495.194001527054
2007.330,495.947933751717
2007.415,498.829071413053
2007.497,531.508538225055
2007.582,531.660625251236
2007.667,515.678021860524
2007.749,504.281889951662
2007.834,497.941546180004
2007.916,479.916284629291
2008.001,479.819591600131
2008.086,475.976755075453
2008.165,473.991198263053
2008.250,469.964771637326
2008.332,491.488338765084
2008.416,488.900929147163
2008.498,602.390298145003
2008.583,496.154880489474
2008.668,492.761707329833
2008.750,477.110112256169
2008.834,462.955366787201
2008.916,462.608362266299
2009.001,449.630425509084
2009.086,775.56724246422
2009.163,435.534084861352
2009.248,433.597120396073
2009.330,656.393303959452
2009.415,434.733517174142
2009.497,400.674995120035
2009.582,436.952317402411
2009.667,438.761313461004
2009.749,440.003643983009
2009.834,435.159390285957
2009.916,440.679489026219
2010.001,440.882081681006
2010.086,458.250811411453
2010.163,462.643923121454
2010.248,470.704502228366
2010.330,458.537525744874
2010.415,465.384216698461
2010.497,469.135782489804
2010.582,479.510455687168
2010.667,477.635939228941
2010.749,465.618861868286
2010.834,484.666105165317
2010.916,483.847908972301
2011.001,459.365464933884
2011.086,455.656706915488
2011.163,474.792648404202
2011.248,502.133961250862
2011.330,560.431722404843
2011.415,523.469491498619
2011.497,513.11079681505
2011.582,502.738327120291
2011.667,506.511498149099
2011.749,508.412259227052
2011.834,493.313829104036
2011.916,476.261915586252
2012.001,485.864072403805
2012.086,502.059834807715
2012.165,531.181206856043
2012.250,481.800426820002
2012.332,481.663929457769
2012.416,497.98324414413
2012.498,556.73128938897
2012.583,525.242215573289
2012.668,506.016849349404
2012.750,504.901783597501
2012.834,507.741191075485
2012.916,500.982037613801
2013.001,490.909857691651
2013.086,524.280263093804
2013.163,509.052353087493
2013.248,508.141473296804
2013.330,551.217177799075
2013.415,547.349682459113
2013.497,534.469314014605
2013.582,529.816986197804
2013.667,529.270581977247
2013.749,512.033145885565
2013.834,518.615575613801
2013.916,515.011920678206
2014.001,515.922637183741
2014.086,535.687138517804
2014.163,517.2828236115
2014.248,515.333681100452
2014.330,506.780701161451
2014.415,533.185393055275
2014.497,521.525464146594
2014.582,511.682132045051
2014.667,537.837976312381
2014.749,550.289654868924
2014.834,565.335941035499
2014.916,595.383117314732
2015.001,559.63302821469
2015.086,554.188618197419
2015.163,574.908518693486
2015.248,550.771672432771
2015.330,546.187726627404
2015.415,554.800784336801
2015.497,525.196341221801
2015.582,539.367303168061
2015.667,536.861861606219
2015.749,533.126617103486
2015.834,528.481679226254
2015.916,521.19699131382
2016.001,508.802651375579
2016.086,487.737556326059
2016.165,487.917709858142
2016.250,487.457587537883
2016.332,485.209874669723
2016.416,482.200641873902
2016.498,487.627529381803
2016.583,480.904948659716
2016.668,480.720455121418
2016.750,472.48146112221
2016.834,474.283140876449
2016.916,463.597666104833
2017.001,455.289221820061
2017.086,446.645453478954
2017.163,442.978954160128
2017.248,452.679668704042
2017.330,451.523357377453
2017.415,448.519884877314
2017.497,462.164417653501
2017.582,472.99598752878
2017.667,482.376568700702
2017.749,474.745420415053
2017.834,461.668444217054
2017.916,468.374280755204
2018.001,451.531707721892
2018.086,443.954986416686
2018.163,441.938561997475
2018.248,443.224348085052
2018.330,449.275868345248
2018.415,446.273229017252
2018.497,446.143967620003
2018.582,447.636954636451
2018.667,447.906219973165
2018.749,456.565911745003
2018.834,467.387735853474
2018.916,465.384216698461
2019.001,462.839627749163
2019.086,455.511329441484
2019.163,452.629228249407
2019.248,452.982628434782
2019.330,466.324498123451
2019.415,463.678106360223
2019.497,468.337654837409
2019.582,466.72367478846
2019.667,461.429784010914
2019.749,464.951770320924
2019.834,464.421545219489
2019.916,466.23388936945
2020.001,462.492835821473
2020.086,454.922512039915
2020.165,447.89805370845
2020.250,446.613050911914
2020.332,451.206355001965
2020.416,451.573465733822
2020.498,474.915490235962
2020.583,484.58711708685
2020.668,465.438340424846
2020.750,534.634582324859
2020.834,468.246119395048
2020.916,470.945492487901
2021.001,467.999183149019
2021.086,462.661706064924
2021.163,454.284757431566
2021.248,452.662853541902
2021.330,459.697700221021
