Date,MOSC phi potential 
1996.498,509.999156906759
1996.583,509.812421515762
1996.668,526.02960847556
1996.750,531.071943402117
1996.834,538.066238207507
1996.916,527.491987515185
1997.001,524.996328150544
1997.086,506.977390398863
1997.163,502.710247631037
1997.248,509.6983353328
1997.330,519.170864225824
1997.415,508.17590527376
1997.497,516.489200946418
1997.582,505.781397094938
1997.667,517.928422984603
1997.749,516.772564966123
1997.834,529.022163976039
1997.916,523.455021674484
1998.001,518.707275974025
1998.086,521.007699150567
1998.163,519.170864225824
1998.248,572.43767008506
1998.330,617.80448920196
1998.415,600.524296341767
1998.497,579.675621899547
1998.582,617.062583184729
1998.667,579.236248705521
1998.749,559.474853707303
1998.834,559.41868629401
1998.916,584.223896818977
1999.001,645.732617384015
1999.086,634.973767713287
1999.163,627.414193324422
1999.248,614.622876312132
1999.330,613.859750435323
1999.415,612.795041874027
1999.497,602.967531360526
1999.582,649.745988937649
1999.667,712.898014225312
1999.749,758.943235533402
1999.834,770.730897515604
1999.916,789.446685535228
2000.001,719.070705998465
2000.086,761.85326007524
2000.165,799.664766085421
2000.250,806.493028035874
2000.332,834.586306137523
2000.416,903.029415689922
2000.498,979.338016253511
2000.583,913.415711401108
2000.668,857.064383459296
2000.750,803.936946447222
2000.834,887.439666661875
2000.916,860.538321335288
2001.001,827.218842416307
2001.086,747.746534592669
2001.163,715.01467147601
2001.248,879.022313723699
2001.330,781.112262116703
2001.415,766.796956012875
2001.497,763.944808852755
2001.582,816.504893203842
2001.667,805.88674438678
2001.749,832.226280558764
2001.834,773.974491093953
2001.916,752.498447077833
2002.001,836.708160610302
2002.086,736.196214379996
2002.163,768.12575758916
2002.248,779.016644780243
2002.330,783.733699333222
2002.415,768.940985470217
2002.497,824.843038519138
2002.582,882.886061450855
2002.667,832.226280558764
2002.749,800.72397468112
2002.834,863.696224987422
2002.916,829.162049981541
2003.001,846.256097110164
2003.086,811.666585841285
2003.163,794.89570541681
2003.248,868.183271481166
2003.330,851.77145829642
2003.415,915.057759094422
2003.497,857.419061793045
2003.582,870.783267464158
2003.667,793.403034943289
2003.749,837.922297945903
2003.834,1034.39243158117
2003.916,864.874692767073
2004.001,889.003151269313
2004.086,797.314447235023
2004.165,748.097274231376
2004.250,730.455437688947
2004.332,697.301801941841
2004.416,692.34038972276
2004.498,715.463010281992
2004.583,724.774368358301
2004.668,676.060160433688
2004.750,620.180833327603
2004.834,661.899803662338
2004.916,682.9947282028
2005.001,792.072984335176
2005.086,698.382658784201
2005.163,686.494935184305
2005.248,665.653929127039
2005.330,712.491487582726
2005.415,687.101578873903
2005.497,685.704256718854
2005.582,710.474904247902
2005.667,778.222786111624
2005.749,653.854574187636
2005.834,637.176761987069
2005.916,631.33990618108
2006.001,580.578340962103
2006.086,567.759682208826
2006.163,518.096736680242
2006.248,509.439132880548
2006.330,486.948632922114
2006.415,491.545857451578
2006.497,505.688709920025
2006.582,497.642428013058
2006.667,489.79224020422
2006.749,492.932757053391
2006.834,498.43471778321
2006.916,547.021385982287
