MONTHLY SUNSPOT NUMBER DATA downloaded from HVO: 
column 1 - Date in fraction of year. 
column 2 - Monthly total sunspot number.
column 3 - Monthly mean standard deviation of the input sunspot numbers from individual stations.

2000.040	133.1	10.4
2000.125	165.7	10.4
2000.204	217.7	11.9
2000.289	191.5	10.2
2000.371	165.9	10.1
2000.455	188.0	8.8
2000.537	244.3	12.0
2000.622	180.5	9.4
2000.707	156.0	11.2
2000.789	141.6	8.0
2000.873	158.1	8.9
2000.955	143.3	8.7
2001.040	142.6	9.2
2001.125	121.5	8.1
2001.202	165.8	11.9
2001.287	161.7	9.4
2001.369	142.1	8.3
2001.454	202.9	10.8
2001.536	123.0	8.4
2001.621	161.5	9.3
2001.706	238.2	12.1
2001.788	194.1	11.3
2001.873	176.6	13.3
2001.955	213.4	12.5
2002.040	184.6	11.7
2002.125	170.2	11.3
2002.202	147.1	9.1
2002.287	186.9	9.8
2002.369	187.5	9.7
2002.454	128.8	7.7
2002.536	161.0	11.0
2002.621	175.6	9.8
2002.706	187.9	10.1
2002.788	151.2	8.0
2002.873	147.2	8.2
2002.955	135.3	10.0
2003.040	133.5	7.4
2003.125	75.7	5.7
2003.202	100.7	7.5
2003.287	97.9	6.4
2003.369	86.8	6.6
2003.454	118.7	7.9
2003.536	128.3	7.9
2003.621	115.4	7.3
2003.706	78.5	5.8
2003.788	97.8	8.8
2003.873	82.9	6.3
2003.955	72.2	5.3
2004.040	60.6	5.2
2004.125	74.6	6.0
2004.204	74.8	5.1
2004.289	59.2	5.1
2004.371	72.8	5.7
2004.455	66.5	6.8
2004.537	83.8	8.8
2004.622	69.7	5.5
2004.707	48.8	5.3
2004.789	74.2	5.5
2004.873	70.1	5.4
2004.955	28.9	3.4
2005.040	48.1	4.6
2005.125	43.5	4.3
2005.202	39.6	3.8
2005.287	38.7	3.8
2005.369	61.9	5.7
2005.454	56.8	5.3
2005.536	62.4	6.1
2005.621	60.5	5.3
2005.706	37.2	4.5
2005.788	13.2	3.4
2005.873	27.5	4.1
2005.955	59.3	3.9
2006.040	20.9	3.4
2006.125	5.7	3.7
2006.202	17.3	4.2
2006.287	50.3	5.1
2006.369	37.2	3.9
2006.454	24.5	3.3
2006.536	22.2	2.4
2006.621	20.8	2.5
2006.706	23.7	3.0
2006.788	14.9	2.4
2006.873	35.7	3.5
2006.955	22.3	3.5
2007.040	29.3	2.8
2007.125	18.4	2.7
2007.202	7.2	2.8
2007.287	5.4	2.4
2007.369	19.5	3.3
2007.454	21.3	3.4
2007.536	15.1	1.9
2007.621	9.8	2.2
2007.706	4.0	2.1
2007.788	1.5	2.4
2007.873	2.8	2.5
2007.955	17.3	3.1
2008.040	4.1	2.8
2008.125	2.9	2.4
2008.204	15.5	2.7
2008.289	3.6	2.3
2008.371	4.6	3.2
2008.455	5.2	2.3
2008.537	0.6	2.0
2008.622	0.3	2.0
2008.707	1.2	2.4
2008.789	4.2	2.9
2008.873	6.6	2.4
2008.955	1.0	2.0
2009.040	1.3	2.0
2009.125	1.2	2.2
2009.202	0.6	2.0
2009.287	1.2	2.2
2009.369	2.9	2.4
2009.454	6.3	2.7
2009.536	5.5	2.6
2009.621	0.0	2.0
2009.706	7.1	2.2
2009.788	7.7	2.7
2009.873	6.9	3.2
2009.955	16.3	3.5
2010.040	19.5	2.5
2010.125	28.5	2.7
2010.202	24.0	3.6
2010.287	10.4	3.3
2010.369	13.9	3.4
2010.454	18.8	3.0
2010.536	25.2	3.4
2010.621	29.6	3.4
2010.706	36.4	4.0
2010.788	33.6	3.9
2010.873	34.4	3.7
2010.955	24.5	3.6
2011.040	27.3	3.1
2011.125	48.3	5.1
2011.202	78.6	6.9
2011.287	76.1	6.2
2011.369	58.2	5.0
2011.454	56.1	5.0
2011.536	64.5	4.8
2011.621	65.8	5.6
2011.706	120.1	8.8
2011.788	125.7	9.0
2011.873	139.1	9.9
2011.955	109.3	8.4
2012.040	94.4	7.1
2012.125	47.8	4.4
2012.204	86.6	7.3
2012.289	85.9	6.9
2012.371	96.5	7.2
2012.455	92.0	6.5
2012.537	100.1	7.3
2012.622	94.8	6.5
2012.707	93.7	8.1
2012.789	76.5	5.1
2012.873	87.6	6.5
2012.955	56.8	5.1
2013.040	96.1	6.3
2013.125	60.9	4.4
2013.202	78.3	6.1
2013.287	107.3	6.8
2013.369	120.2	8.2
2013.454	76.7	5.2
2013.536	86.2	6.7
2013.621	91.8	6.6
2013.706	54.5	5.3
2013.788	114.4	8.2
2013.873	113.9	8.2
2013.955	124.2	9.1
2014.040	117.0	8.2
2014.125	146.1	10.7
2014.202	128.7	8.6
2014.287	112.5	6.9
2014.369	112.5	7.5
2014.454	102.9	7.7
2014.536	100.2	7.4
2014.621	106.9	7.6
2014.706	130.0	8.7
2014.788	90.0	6.9
2014.873	103.6	8.5
2014.955	112.9	7.4
2015.040	93.0	7.5
2015.125	66.7	5.3
2015.202	54.5	4.8
2015.287	75.3	8.2
2015.369	88.8	8.6
2015.454	66.5	6.3
2015.536	65.8	5.7
2015.621	64.4	5.2
2015.706	78.6	6.4
2015.788	63.6	5.4
2015.873	62.2	5.2
2015.955	58.0	5.4
2016.040	57.0	4.7
2016.125	56.4	5.1
2016.204	54.1	4.9
2016.289	37.9	3.5
2016.371	51.5	4.7
2016.455	20.5	2.0
2016.537	32.4	3.8
2016.622	50.2	4.5
2016.707	44.6	3.8
2016.789	33.4	3.1
2016.873	21.4	2.6
2016.955	18.5	2.4
2017.040	26.1	2.5
2017.125	26.4	3.7
2017.202	17.7	2.6
