Date,HRMS (day)
1980.845,111.397
1980.848,111.706
1980.851,112.233
1980.854,112.465
1980.856,112.023
1980.859,110.345
1980.862,109.26
1980.865,109.818
1980.867,110.657
1980.870,111.381
1980.873,111.942
1980.875,111.715
1980.878,111.525
1980.881,111.843
1980.884,111.771
1980.886,111.699
1980.889,112.012
1980.892,111.951
1980.895,112.398
1980.897,112.277
1980.900,110.591
1980.903,109.627
1980.906,109.836
1980.908,110.134
1980.911,110.659
1980.914,108.705
1980.916,107.774
1980.919,107.95
1980.922,107.598
1980.925,108.37
1980.927,109.334
1980.930,110.353
1980.933,110.973
1980.936,113.017
1980.938,113.757
1980.941,114.069
1980.944,113.003
1980.947,111.263
1980.949,111.762
1980.952,111.341
1980.955,112.147
1980.957,112.227
1980.960,112.213
1980.963,112.207
1980.966,111.324
1980.968,110.564
1980.971,109.772
1980.974,110.469
1980.977,111.087
1980.979,111.682
1980.982,111.947
1980.985,111.982
1980.988,113.046
1980.990,113.192
1980.993,112.448
1980.996,111.985
1980.999,112.05
1981.001,112.409
1981.004,113.411
1981.007,114.024
1981.010,113.903
1981.012,113.916
1981.015,114.325
1981.018,114.738
1981.021,114.921
1981.023,114.583
1981.026,114.559
1981.029,114.904
1981.032,114.633
1981.034,114.837
1981.037,115.1
1981.040,114.882
1981.042,114.376
1981.045,114.279
1981.048,114.479
1981.051,114.343
1981.053,114.488
1981.056,114.714
1981.059,114.608
1981.062,114.322
1981.064,114.648
1981.067,114.646
1981.070,114.317
1981.073,114.567
1981.075,114.839
1981.078,114.531
1981.081,113.223
1981.084,111.726
1981.086,111.747
1981.089,110.682
1981.092,110.119
1981.095,110.432
1981.097,110.957
1981.100,111.627
1981.103,110.269
1981.106,111.043
1981.108,112.201
1981.111,112.093
1981.114,112.067
1981.117,112.385
1981.119,112.971
1981.122,113.212
1981.125,113.847
1981.127,114.048
1981.130,113.912
1981.133,113.875
1981.136,114.229
1981.138,113.896
1981.141,113.479
1981.144,113.608
1981.147,113.836
1981.149,112.802
1981.152,113.609
1981.155,112.318
1981.158,111.703
1981.160,111.869
1981.163,111.742
1981.166,109.183
1981.169,108.971
1981.172,109.234
1981.174,109.877
1981.177,108.389
1981.180,108.904
1981.183,110.502
1981.185,111.949
1981.188,112.196
1981.191,113.122
1981.194,113.779
1981.196,112.432
1981.199,112.642
1981.202,112.959
1981.204,112.56
1981.207,113.046
1981.210,113.356
1981.213,113.718
1981.215,114.409
1981.218,114.317
1981.221,114.61
1981.224,114.691
1981.226,114.488
1981.229,114.691
1981.232,112.263
1981.235,111.865
1981.237,111.913
1981.240,112.223
1981.243,112.809
1981.246,113.38
1981.248,113.831
1981.251,113.895
1981.254,111.525
1981.257,109.675
1981.259,110.748
1981.262,111.552
