Date,MXCO (day)
1990.927,212.47
1990.930,210.797
1990.933,210.721
1990.936,209.934
1990.938,206.706
1990.941,208.001
1990.944,208.236
1990.947,209.143
1990.949,210.059
1990.952,209.424
1990.955,209.744
1990.957,210.025
1990.960,210.41
1990.963,210.544
1990.966,209.911
1990.968,209.931
1990.971,210.763
1990.974,209.596
1990.977,208.352
1990.979,209.677
1990.982,210.188
1990.985,209.948
1990.988,210.541
1990.990,211.394
1990.993,212.4
1990.996,210.84
1990.999,210.602
1991.001,212.118
1991.004,212.587
1991.007,212.729
1991.010,212.705
1991.012,213.112
1991.015,213.02
1991.018,212.707
1991.021,213.892
1991.023,213.557
1991.026,213.321
1991.029,213.389
1991.032,212.937
1991.034,212.442
1991.037,211.934
1991.040,212.657
1991.042,213.128
1991.045,213.109
1991.048,212.803
1991.051,213.353
1991.053,214.492
1991.056,214.161
1991.067,214.111
1991.070,212.125
1991.073,212.299
1991.075,212.178
1991.078,213.016
1991.081,213.654
1991.084,212.07
1991.086,209.16
1991.089,209.731
1991.092,210.005
1991.095,210.649
1991.097,210.736
1991.100,211.269
1991.103,211.465
1991.106,212.1
1991.108,212.906
1991.111,211.858
1991.114,211.893
1991.117,212.072
1991.119,212.492
1991.122,213.086
1991.125,213.611
1991.127,213.673
1991.130,214.441
1991.133,214.147
1991.136,214.233
1991.138,213.676
1991.141,212.49
1991.144,211.462
1991.147,210.937
1991.149,210.487
1991.152,211.315
1991.155,212.954
1991.158,213.188
1991.160,212.665
1991.163,212.063
1991.166,212.326
1991.169,212.739
1991.172,212.279
1991.174,211.349
1991.177,209.82
1991.180,210.274
1991.183,210.486
1991.185,209.95
1991.188,205.555
1991.191,205.877
1991.194,205.715
1991.196,205.367
1991.199,201.662
1991.202,199.473
1991.204,199.779
1991.207,200.776
1991.210,200.011
1991.213,200.786
1991.215,201.259
1991.218,202.654
1991.221,201.262
1991.224,201.966
1991.226,189.649
1991.229,188.506
1991.232,190.319
1991.235,191.27
1991.237,193.551
1991.240,195.115
1991.243,195.236
1991.246,194.389
1991.248,196.323
1991.251,199.432
1991.254,199.682
1991.257,199.525
1991.259,197.229
1991.262,197.837
1991.265,199.054
1991.268,199.391
1991.270,199.826
1991.273,201.161
1991.276,200.736
1991.279,201.79
1991.281,202.442
1991.284,203.275
1991.287,205.382
1991.289,206.44
1991.292,206.782
1991.295,208.01
1991.298,209.287
1991.300,209.241
1991.303,208.433
1991.306,209.688
1991.309,210.388
1991.311,211.371
1991.314,205.031
1991.317,200.251
1991.320,200.097
1991.325,208.013
1991.328,207.286
1991.330,206.518
1991.333,204.562
1991.336,204.478
1991.339,204.32
1991.341,205.682
1991.344,205.727
1991.347,204.034
1991.350,203.798
1991.352,202.284
1991.355,202.216
1991.358,202.097
1991.361,202.53
1991.363,202.141
1991.366,202.148
1991.369,201.981
1991.371,203.011
1991.374,201.967
1991.377,203.957
1991.380,204.362
1991.382,203.902
1991.497,190.052
1991.500,186.82
1991.503,179.932
1991.506,179.868
1991.508,180.787
1991.511,181.64
1991.514,183.057
1991.517,184.182
1991.519,176.051
1991.522,182.017
1991.525,185.075
1991.528,183.469
1991.530,180.887
1991.533,181.736
1991.536,184.714
1991.538,187.16
1991.541,190.98
1991.544,195.364
1991.547,195.301
1991.549,190.326
1991.552,188.089
1991.555,186.231
1991.558,186.25
1991.560,188.217
1991.563,189.336
1991.566,190.892
1991.569,191.286
1991.571,191.39
1991.574,192.984
1991.577,194.065
1991.580,194.888
1991.582,195.728
1991.585,195.087
1991.588,195.407
1991.591,196.895
1991.593,198.718
1991.596,196.695
1991.599,197.28
1991.602,198.124
1991.604,202.037
1991.607,201.976
1991.610,200.791
1991.613,201.69
1991.615,199.123
1991.618,199.583
1991.621,200.497
1991.623,200.528
1991.626,199.745
1991.632,193.797
1991.634,194.816
1991.637,196.533
1991.640,196.429
1991.643,196.4
1991.645,196.606
1991.659,195.114
1991.662,195.838
1991.665,194.181
1991.670,196.575
1991.673,196.66
1991.692,199.49
1991.695,198.234
1991.698,198.851
1991.700,199.179
1991.703,198.051
1991.706,198.623
1991.708,200.751
1991.711,200.731
1991.714,200.252
1991.717,200.658
1991.719,201.171
1991.722,201.618
1991.725,200.941
1991.728,201.287
1991.730,201.932
1991.733,203.87
1991.736,203.708
1991.739,203.413
1991.741,202.595
1991.744,201.35
1991.747,202.266
1991.749,202.161
1991.755,199.983
1991.758,201.537
1991.766,200.197
1991.769,201.816
1991.771,202.811
1991.774,200.649
1991.777,201.316
1991.780,201.183
1991.782,202.322
1991.785,203.223
1991.788,203.376
1991.790,203.09
1991.793,203.225
1991.796,202.155
1991.799,203.687
1991.801,204.691
1991.804,203.354
1991.807,204.02
1991.812,205.085
1991.815,203.995
1991.818,203.528
1991.823,186.043
1991.826,189.084
1991.829,193.21
1991.832,195.777
1991.834,189.61
1991.843,200.989
1991.845,202.403
1991.848,204.242
1991.854,197.719
1991.856,199.255
1991.859,199.746
1991.862,201.175
1991.865,200.79
1991.867,201.076
1991.870,200.952
1991.873,203.127
1991.875,203.566
1991.878,204.119
1991.881,204.556
1991.884,203.79
1991.886,201.074
1991.889,202.451
1991.892,203.149
1991.895,202.447
1991.919,205.256
1991.922,204.041
1991.925,203.887
1991.927,204.465
1991.930,205.356
1991.933,205.549
1991.936,205.979
1991.938,205.11
1991.941,204.837
1991.944,203.523
1991.947,203.018
1991.949,203.283
1991.952,203.283
1991.955,203.485
1991.957,203.96
1991.960,204.651
1991.963,205.516
1991.966,205.367
1991.968,204.389
1991.971,204.117
1991.974,204.458
1991.977,205.496
1991.979,205.728
1991.982,206.908
1991.985,207.727
1991.988,205.042
1991.990,203.919
1991.993,201.633
1991.996,201.975
1991.999,202.914
1992.001,201.897
1992.004,200.604
1992.007,202.037
1992.010,202.719
1992.012,201.904
1992.015,202.242
1992.018,202.225
1992.021,202.895
1992.026,204.773
1992.029,204.209
1992.032,203.778
1992.034,201.506
1992.037,201.688
1992.040,202.928
1992.042,203.691
1992.045,203.259
1992.048,204.183
1992.051,204.613
1992.053,205.566
1992.056,206.254
1992.059,208.657
1992.062,208.945
1992.064,210.173
1992.067,210.793
1992.070,210.082
1992.073,208.964
1992.075,205.566
1992.078,203.662
1992.081,202.297
1992.084,202.216
1992.089,201.121
1992.092,199.09
1992.095,200.713
1992.097,202.771
1992.100,204.158
1992.103,205.607
1992.106,204.423
1992.108,200.293
1992.111,201.38
1992.114,202.262
1992.117,204.1
1992.119,205.339
1992.122,205.599
1992.125,205.852
1992.127,206.367
1992.130,205.347
1992.133,205.751
1992.136,206.057
1992.138,205.424
1992.141,202.581
1992.144,204.137
1992.147,205.627
1992.149,206.694
1992.152,206.705
1992.155,205.646
1992.158,196.68
1992.160,199.914
1992.163,203.216
1992.165,202.5
1992.168,202.681
1992.171,203.345
1992.174,202.646
1992.176,202.949
1992.179,204.676
1992.182,204.306
1992.185,204.012
1992.187,204.158
1992.190,205.751
1992.193,205.795
1992.196,205.978
1992.198,206.546
1992.201,206.496
1992.204,206.168
1992.206,207.382
1992.209,206.999
1992.212,205.148
1992.215,206.99
1992.217,208.835
1992.220,209.903
1992.223,209.034
1992.226,209.926
1992.228,210.178
1992.231,210.613
1992.234,210.406
1992.237,210.167
1992.239,210.388
1992.242,211.419
1992.245,211.179
1992.248,211.538
1992.250,211.04
1992.253,208.678
1992.256,210.188
1992.259,209.636
1992.261,208.188
1992.264,208.64
1992.267,208.075
1992.270,208.699
1992.272,208.798
1992.275,208.517
1992.278,208.419
1992.281,207.815
1992.283,208.01
1992.286,208.913
1992.289,208.592
1992.291,209.921
1992.294,210.558
1992.297,211.816
1992.300,212.756
1992.302,212.974
1992.305,212.103
1992.308,212.247
1992.311,211.211
1992.313,210.392
1992.316,209.501
1992.319,208.343
1992.322,207.574
1992.324,208.797
1992.327,209.413
1992.330,209.871
1992.332,208.879
1992.335,207.963
1992.338,207.486
1992.341,209.098
1992.343,207.856
1992.346,207.994
1992.352,206.063
1992.354,205.462
1992.357,198.47
1992.360,200.52
1992.363,202.662
1992.365,205.57
1992.368,205.854
1992.371,207.32
1992.373,209.653
1992.376,209.542
1992.379,209.979
1992.382,209.513
1992.384,209.342
1992.387,209.745
1992.390,208.02
1992.393,207.092
1992.395,208.591
1992.398,209.509
1992.401,210.397
1992.404,209.825
1992.406,208.184
1992.409,204.054
1992.412,207.08
1992.415,207.093
1992.416,207.79
1992.419,208.607
1992.422,208.982
1992.425,209.759
1992.427,209.632
1992.430,209.498
1992.433,208.913
1992.436,210.575
1992.438,211.096
1992.441,209.37
1992.444,208.258
1992.447,209.36
1992.449,210.353
1992.452,211.51
1992.455,212.404
1992.457,212.807
1992.460,212.883
1992.463,213.373
1992.466,212.454
1992.468,212.572
1992.471,212.349
1992.474,211.465
1992.477,212.108
1992.479,211.979
1992.482,211.598
1992.485,212.088
1992.488,212.894
1992.490,213.008
1992.493,213.615
1992.496,212.742
1992.498,213.631
1992.501,213.858
1992.504,214.295
1992.507,214.183
1992.509,213.924
1992.512,213.361
1992.515,213.925
1992.518,213.557
1992.520,213.053
1992.523,213.12
1992.526,213.917
1992.529,211.533
1992.531,209.692
1992.534,209.69
1992.537,209.916
1992.539,210.85
1992.542,211.821
1992.545,212.434
1992.548,212.216
1992.550,211.839
1992.553,209.366
1992.556,209.712
1992.559,209.213
1992.561,208.684
1992.564,209.507
1992.567,209.479
1992.570,209.661
1992.572,209.828
1992.575,210.452
1992.578,211.161
1992.581,212.201
1992.583,212.324
1992.586,212.427
1992.589,212.272
1992.592,211.809
1992.594,211.164
1992.597,208.103
1992.600,207.493
1992.603,208.338
1992.605,207.671
1992.608,207.425
1992.611,208.33
1992.614,208.736
1992.616,209.277
1992.619,210.415
1992.622,210.978
1992.624,210.265
1992.627,209.735
1992.630,208.906
1992.633,209.355
1992.635,209.844
1992.638,209.191
1992.641,208.657
1992.644,208.298
1992.646,211.461
1992.649,212.983
1992.652,212.947
1992.655,211.948
1992.657,212.747
1992.660,213.158
1992.663,213.98
1992.666,214.282
1992.668,215.661
1992.671,215.121
1992.674,213.433
1992.677,210.989
1992.679,208.406
1992.682,208.142
1992.685,208.8
1992.688,208.369
1992.690,205.066
1992.693,203.173
1992.696,205.75
1992.699,206.289
1992.701,207.239
1992.704,208.221
1992.707,208.452
1992.709,208.575
1992.712,208.766
1992.726,211.681
1992.729,211.427
1992.731,210.801
1992.734,211.559
1992.737,213.568
1992.740,214.024
1992.742,213.77
1992.745,210.201
1992.748,209.382
1992.753,212.85
1992.756,212.072
1992.759,212.888
1992.761,211.967
1992.764,209.547
1992.767,208.406
1992.770,208.781
1992.772,206.487
1992.775,207.628
1992.781,208.847
1992.783,208.504
1992.786,208.126
1992.789,207.711
1992.791,208.88
1992.794,209.366
1992.797,209.492
1992.800,209.812
1992.802,209.77
1992.805,210.205
1992.808,210.971
1992.811,212.709
1992.813,211.757
1992.819,214.319
1992.822,212.47
1992.824,212.859
1992.827,212.974
1992.830,213.408
1992.833,214.952
1992.834,214.127
1992.837,210.314
1992.840,209.151
1992.843,208.576
1992.845,208.866
1992.848,208.931
1992.851,209.403
1992.854,208.696
1992.856,211.295
1992.859,208.513
1992.862,207.804
1992.865,208.486
1992.867,209.993
1992.870,208.872
1992.873,209.336
1992.875,209.952
1992.878,210.878
1992.881,212.331
1992.884,213.537
1992.886,213.088
1992.889,213.271
1992.892,213.171
1992.895,211.812
1992.897,210.747
1992.900,211.531
1992.903,211.903
1992.906,212.643
1992.908,213.673
1992.911,212.711
1992.914,212.848
1992.916,212.837
1992.919,213.478
1992.922,213.718
1992.925,213.327
1992.927,212.05
1992.930,212.085
1992.933,211.387
1992.936,210.312
1992.938,211.323
1992.941,212.221
1992.944,211.713
1992.947,211.603
1992.949,212.186
1992.952,212.99
1992.957,213.592
1992.960,214.5
1992.963,214.185
1992.966,214.477
1992.968,213.807
1992.971,213.414
1992.974,213.403
1992.977,213.855
1992.979,214.328
1992.982,215.481
1992.985,216.13
1992.988,216.573
1992.990,214.38
1992.993,214.741
1992.996,211.907
1992.999,210.911
1993.001,210.488
1993.004,210.388
1993.007,210.044
1993.010,210.746
1993.012,210.974
1993.015,210.978
1993.018,210.979
1993.021,211.36
1993.023,211.286
1993.026,210.625
1993.029,211.198
1993.032,211.961
1993.034,212.656
1993.037,213.415
1993.040,214.108
1993.042,214.454
1993.045,215.454
1993.048,215.206
1993.051,215.812
1993.053,214.265
1993.056,214.181
1993.059,214.403
1993.062,214.472
1993.064,215.309
1993.067,214.021
1993.070,211.853
1993.073,210.561
1993.075,211.16
1993.081,213.304
1993.084,212.985
1993.086,212.742
1993.089,211.896
1993.092,211.804
1993.095,211.84
1993.097,212.384
1993.100,213.079
1993.103,213.58
1993.106,212.812
1993.108,210.832
1993.111,210.649
1993.114,211.936
1993.117,212.553
1993.119,212.958
1993.122,213.818
1993.125,214.311
1993.127,213.629
1993.130,213.673
1993.133,214.901
1993.136,215.253
1993.138,215.834
1993.141,212.896
1993.144,211.421
1993.147,210.683
1993.149,211.187
1993.152,212.174
1993.155,213.175
1993.158,213.843
1993.160,213.191
1993.163,211.279
1993.166,211.859
1993.169,211.548
1993.172,211.461
1993.174,209.979
1993.177,209.759
1993.180,209.972
1993.183,210.571
1993.185,206.941
1993.188,207.06
1993.191,209.534
1993.194,211.419
1993.196,212.224
1993.199,212.12
1993.202,212.96
1993.204,213.159
1993.207,213.525
1993.210,214.392
1993.213,215.494
1993.215,216.221
1993.218,214.637
1993.221,214.476
1993.224,214.155
1993.226,211.466
1993.229,211.858
