Date,NEWK (month)
2009.497,102.582
2009.582,102.172
2009.667,102.584
2009.749,102.95
2009.834,103.068
2009.916,103.268
2010.001,103.199
2010.086,101.08
2010.163,101.248
2010.248,100.014
2010.330,100.067
2010.415,99.617
2010.497,98.546
2010.582,98.15
2010.667,98.166
2010.749,98.508
2010.834,98.069
2010.916,98.242
2011.001,98.255
2011.086,98.353
2011.163,97.405
2011.248,95.444
2011.330,96.497
2011.415,94.294
2011.497,94.994
2011.582,95.288
2011.667,95.042
2011.749,94.811
2011.834,95.865
2011.916,97.04
2012.001,96.359
2012.086,95.448
2012.165,92.7
2012.250,95.769
2012.332,95.579
2012.416,94.503
2012.498,92.814
2012.583,93.294
2012.668,94.632
2012.750,94.69
2012.834,95.224
2012.916,95.491
2013.001,96.268
2013.086,96.584
2013.163,95.361
2013.248,95.206
2013.330,92.744
2013.415,92.344
2013.497,92.973
2013.582,93.458
2013.667,94.054
2013.749,95.158
2013.834,94.821
2013.916,93.708
2014.001,94.142
2014.086,92.582
2014.163,93.21
2014.248,93.441
2014.330,94.22
2014.415,92.786
2014.497,93.475
2014.582,94.343
2014.667,93.478
2014.749,93.522
2014.834,93.273
2014.916,91.451
2015.001,92.823
2015.086,92.881
2015.163,91.223
2015.248,91.969
2015.330,92.95
2015.415,92.506
2015.497,93.716
2015.582,94.06
2015.667,93.998
2015.749,94.362
2015.834,94.614
2015.916,95.183
2016.001,96.706
2016.086,97.585
2016.165,97.371
2016.250,97.31
2016.332,97.409
2016.416,97.583
2016.498,97.14
2016.583,97.795
2016.668,97.991
2016.750,98.802
2016.834,99.395
2016.916,99.624
2017.001,100.2
2017.086,100.533
2017.163,101.57
2017.248,99.545
2017.330,99.154
2017.415,99.337
2017.497,99.259
2017.582,98.705
2017.667,98.078
2017.749,98.646
2017.834,99.904
2017.916,100.238
2018.001,100.644
2018.086,100.451
2018.163,100.478
2018.248,100.825
2018.330,100.27
2018.415,100.31
2018.497,100.512
2018.582,100.453
2018.667,100.604
2018.749,100.901
2018.834,100.995
2018.916,100.908
2019.001,101.03
2019.086,100.94
2019.163,101.314
2019.248,101.271
2019.330,100.081
2019.415,100.792
2019.497,100.675
2019.582,100.691
2019.667,101.037
2019.749,101.05
2019.834,101.447
2019.916,101.362
2020.001,100.693
2020.086,100.853
2020.165,100.947
2020.250,101.184
2020.332,100.712
2020.416,100.637
2020.498,99.325
2020.583,100.201
2020.668,100.296
2020.750,100.211
2020.834,100.43
2020.916,99.998
2021.001,100.366
2021.086,99.402
2021.163,100.187
2021.248,100.335
2021.330,100.197
